"2020-05-29 13:20:37",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001177,"5100|26"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001183,"5100|13|s|2"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001185,"5100|15"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001191,"5100|25|s|3"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001193,"5100|16"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001199,"5100|17"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001205,"5100|18"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001211,"5100|19"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001217,"5100|20|s|3"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001219,"5100|21|l|1"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001221,"5100|22"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001227,"5100|23"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001233,"5100|24|s|3"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001244,"5200|25|l|3"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001246,"5200|26|l|3"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001248,"5200|27"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001254,"5200|1"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001260,"5200|2"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001266,"5200|3"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001272,"5200|4"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001278,"5200|5"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001284,"5200|6"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001290,"5200|7"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001296,"5200|9"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001302,"5200|11"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001308,"5200|12|l|3"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001310,"5200|13"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001316,"5200|14"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001322,"5200|15"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001328,"5200|16|l|1"
"2020-05-29 13:20:48","AIR:401000000","building-toon",401001330,"5200|17"
"2020-05-29 13:20:48","AIR:401000000","building-cog",401001336,"5200|18|s|4"
